*** UNIVERSALMUTATOR ***
MUTATING WITH RULES: universal.rules, solidity.rules, c_like.rules
SKIPPED 182 MUTANTS ONLY CHANGING STRING LITERALS
15110 MUTANTS GENERATED BY RULES
PROCESSING MUTANT: 66:         address borrower;        // borrower address to take from  ==>          address borrower;        //  address to take from...VALID [written to mutants/Auctions/Auctions.mutant.0.sol] 
PROCESSING MUTANT: 67:         bool    depositTake;     // deposit or arb take, used by bucket take  ==>          bool    depositTake;     //  or arb take, used by bucket take...VALID [written to mutants/Auctions/Auctions.mutant.1.sol] 
PROCESSING MUTANT: 68:         uint256 index;           // bucket index, used by bucket take  ==>          uint256 index;           //  index, used by bucket take...VALID [written to mutants/Auctions/Auctions.mutant.2.sol] 
PROCESSING MUTANT: 69:         uint256 inflator;        // [WAD] current pool inflator  ==>          uint256 inflator;        //  current pool inflator...VALID [written to mutants/Auctions/Auctions.mutant.3.sol] 
PROCESSING MUTANT: 70:         uint256 collateralScale; // precision of collateral token based on decimals  ==>          uint256 collateralScale; //  of collateral token based on decimals...VALID [written to mutants/Auctions/Auctions.mutant.4.sol] 
PROCESSING MUTANT: 73:         address borrower;        // borrower address to take from  ==>          address borrower;        //  address to take from...VALID [written to mutants/Auctions/Auctions.mutant.5.sol] 
PROCESSING MUTANT: 74:         uint256 takeCollateral;  // [WAD] desired amount to take  ==>          uint256 takeCollateral;  //  desired amount to take...VALID [written to mutants/Auctions/Auctions.mutant.6.sol] 
PROCESSING MUTANT: 75:         uint256 inflator;        // [WAD] current pool inflator  ==>          uint256 inflator;        //  current pool inflator...VALID [written to mutants/Auctions/Auctions.mutant.7.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        // pool type (ERC0 or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.8.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        // pool type (ERC1 or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.9.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        // pool type (ERC-1 or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.10.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        // pool type (ERC(20+1) or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.11.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        // pool type (ERC(20-1) or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.12.sol] 
PROCESSING MUTANT: 76:         uint256 poolType;        // pool type (ERC20 or NFT)  ==>          uint256 poolType;        //  type (ERC20 or NFT)...VALID [written to mutants/Auctions/Auctions.mutant.13.sol] 
PROCESSING MUTANT: 77:         uint256 collateralScale; // precision of collateral token based on decimals  ==>          uint256 collateralScale; //  of collateral token based on decimals...VALID [written to mutants/Auctions/Auctions.mutant.14.sol] 
PROCESSING MUTANT: 85:         uint256 borrowerDebt;       // [WAD] the accrued debt of kicked borrower  ==>          uint256 borrowerDebt;       //  the accrued debt of kicked borrower...VALID [written to mutants/Auctions/Auctions.mutant.15.sol] 
